,GM,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA
0,1,14.956521739130435,3.5652173913043477,17.782608695652176,32.73913043478261,0.21739130434782608,0.34782608695652173,0.0,5.478260869565218,1.826086956521739,5.391304347826087,8.652173913043478,4.913043478260869,1.565217391304348,1.173913043478261,1.0869565217391304,17.782608695652176,15.565217391304348,0.043478260869565216,0.043478260869565216,1.7391304347826086,0.13043478260869565,0.8260869565217391
1,1,13.84,3.84,16.12,29.96,0.44,0.32,0.0,4.52,1.56,4.4,7.64,3.44,1.76,0.92,1.12,16.0,14.0,0.28,0.28,0.96,0.52,0.56
2,1,14.869565217391305,4.173913043478261,15.782608695652174,30.652173913043477,0.17391304347826086,0.17391304347826086,0.0,3.782608695652174,1.7391304347826086,5.260869565217392,6.391304347826087,3.4782608695652173,1.391304347826087,0.7391304347826086,0.4782608695652174,11.608695652173912,20.0,0.08695652173913043,0.13043478260869565,2.1739130434782608,0.17391304347826086,0.782608695652174
3,1,14.75,4.666666666666667,14.583333333333334,29.333333333333332,0.5,0.5,0.0,6.208333333333333,2.125,4.333333333333333,3.875,4.0,1.4583333333333333,1.2916666666666667,1.0416666666666667,9.041666666666666,19.708333333333332,0.041666666666666664,0.20833333333333334,1.8333333333333333,0.16666666666666666,0.4583333333333333
4,1,14.875,4.166666666666667,13.166666666666666,28.041666666666668,0.7916666666666666,1.2916666666666667,0.0,3.125,1.4583333333333333,6.5,4.625,4.291666666666667,0.6666666666666666,0.7083333333333334,1.0,12.708333333333334,15.666666666666666,0.16666666666666666,0.7916666666666666,0.6666666666666666,0.0,1.1666666666666667
5,1,14.2,2.65,18.75,32.95,0.35,0.4,0.0,8.1,2.0,4.65,7.5,4.8,1.75,1.45,0.5,15.0,18.05,0.0,0.2,0.7,0.1,0.4
6,1,14.44,4.08,11.32,25.76,0.28,0.28,0.0,2.16,4.12,2.76,1.6,3.52,1.12,0.72,0.44,6.36,16.96,0.0,0.08,0.52,0.8,0.28
7,1,11.375,2.625,15.416666666666666,26.791666666666668,0.25,0.2916666666666667,0.0,5.291666666666667,0.9583333333333334,3.7916666666666665,5.708333333333333,3.75,1.5416666666666667,1.0416666666666667,0.4583333333333333,11.958333333333334,14.625,0.08333333333333333,0.08333333333333333,1.0,0.20833333333333334,0.4166666666666667
8,1,14.3,4.55,17.8,32.1,0.25,0.35,0.0,3.3,2.4,4.65,4.4,4.15,0.8,1.55,0.7,11.45,21.3,0.0,0.1,0.6,0.55,0.35
9,1,16.954545454545453,3.772727272727273,11.5,28.454545454545453,0.36363636363636365,0.5,0.0,6.045454545454546,2.3181818181818183,5.545454545454546,7.909090909090909,4.363636363636363,1.3181818181818181,1.1818181818181819,1.2272727272727273,15.181818181818182,13.318181818181818,0.13636363636363635,0.13636363636363635,0.9545454545454546,0.13636363636363635,0.6818181818181818
10,1,19.272727272727273,7.2727272727272725,9.136363636363637,28.40909090909091,0.13636363636363635,0.045454545454545456,0.0,3.3181818181818183,5.363636363636363,2.9545454545454546,1.4090909090909092,3.772727272727273,0.9545454545454546,0.9090909090909091,0.4090909090909091,6.5,19.5,0.22727272727272727,0.045454545454545456,2.227272727272727,0.7272727272727273,0.3181818181818182
11,1,12.64,3.6,11.88,24.52,0.48,0.48,0.0,4.96,1.08,2.92,4.32,3.04,1.04,0.88,0.52,9.8,14.28,0.12,0.28,1.16,0.28,0.32
12,1,16.708333333333332,7.083333333333333,8.791666666666666,25.5,0.08333333333333333,0.041666666666666664,0.0,2.25,3.5833333333333335,2.9583333333333335,1.875,3.0833333333333335,0.5833333333333334,0.5833333333333334,0.2916666666666667,7.75,17.833333333333332,0.5,0.0,1.5,0.16666666666666666,0.125
13,1,12.8,4.12,11.64,24.44,0.56,0.4,0.0,6.0,1.72,3.8,6.0,4.0,0.92,1.16,0.64,11.76,12.12,0.36,0.64,1.08,0.0,0.32
14,1,14.4,6.6,10.0,24.4,0.4,0.12,0.0,6.32,2.44,4.24,3.76,2.96,1.4,0.92,0.84,9.72,14.96,0.36,0.28,1.84,0.08,0.64
15,1,19.454545454545453,5.7727272727272725,8.227272727272727,27.681818181818183,0.18181818181818182,0.09090909090909091,0.0,2.5,4.863636363636363,3.090909090909091,1.7272727272727273,2.5454545454545454,0.6818181818181818,0.36363636363636365,0.4090909090909091,8.045454545454545,16.09090909090909,0.22727272727272727,0.045454545454545456,2.772727272727273,1.0909090909090908,0.36363636363636365
16,1,18.043478260869566,4.913043478260869,7.913043478260869,25.956521739130434,0.30434782608695654,0.13043478260869565,0.0,1.1304347826086956,6.304347826086956,2.782608695652174,1.173913043478261,2.9130434782608696,0.5217391304347826,0.9130434782608695,0.13043478260869565,5.0,15.73913043478261,0.2608695652173913,0.043478260869565216,2.4347826086956523,0.8695652173913043,0.34782608695652173
17,1,12.571428571428571,4.0,15.80952380952381,28.38095238095238,0.2857142857142857,0.5238095238095238,0.14285714285714285,4.0,1.4761904761904763,4.571428571428571,5.0476190476190474,3.857142857142857,1.0476190476190477,1.0,0.6190476190476191,12.238095238095237,15.761904761904763,0.23809523809523808,0.38095238095238093,1.380952380952381,0.047619047619047616,0.6666666666666666
