,GM,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA
400,1,7.923076923076923,5.461538461538462,2.923076923076923,10.846153846153847,0.15384615384615385,0.0,0.6153846153846154,1.6153846153846154,2.230769230769231,0.8461538461538461,0.0,1.7692307692307692,0.6923076923076923,0.6923076923076923,0.0,1.9230769230769231,8.923076923076923,0.15384615384615385,0.15384615384615385,2.923076923076923,0.0,0.07692307692307693
401,1,5.214285714285714,2.5714285714285716,4.857142857142857,10.071428571428571,0.07142857142857142,0.07142857142857142,0.0,2.142857142857143,1.5,1.0714285714285714,0.42857142857142855,2.9285714285714284,0.7142857142857143,0.7857142857142857,0.0,3.7142857142857144,6.5,0.21428571428571427,0.07142857142857142,3.7142857142857144,0.14285714285714285,0.2857142857142857
402,1,5.133333333333334,1.8,4.2,9.333333333333334,0.9333333333333333,0.4666666666666667,0.0,3.066666666666667,0.13333333333333333,1.8,0.8666666666666667,2.466666666666667,0.3333333333333333,0.7333333333333333,0.0,4.733333333333333,5.0,0.2,0.3333333333333333,0.7333333333333333,0.06666666666666667,0.4666666666666667
403,1,6.133333333333334,5.466666666666667,3.1333333333333333,9.266666666666667,0.06666666666666667,0.0,0.0,0.7333333333333333,1.8666666666666667,0.2,0.2,1.4,0.4666666666666667,0.4666666666666667,0.0,4.6,4.733333333333333,2.1333333333333333,0.26666666666666666,4.0,0.3333333333333333,0.0
404,1,8.666666666666666,3.1666666666666665,2.8333333333333335,11.5,0.3333333333333333,0.25,0.0,1.9166666666666667,1.25,1.9166666666666667,0.8333333333333334,2.4166666666666665,1.0833333333333333,0.4166666666666667,0.0,4.583333333333333,7.25,0.08333333333333333,0.08333333333333333,1.75,0.0,0.0
405,1,9.666666666666666,2.7777777777777777,5.666666666666667,15.333333333333334,0.0,0.3333333333333333,0.0,2.3333333333333335,3.111111111111111,1.3333333333333333,0.8888888888888888,1.6666666666666667,0.7777777777777778,0.4444444444444444,0.0,4.555555555555555,9.222222222222221,0.1111111111111111,0.1111111111111111,1.5555555555555556,0.3333333333333333,0.5555555555555556
406,1,11.5,5.75,5.5,17.0,0.625,0.25,0.0,2.375,2.125,2.75,1.0,1.5,1.0,0.625,0.0,4.625,12.375,0.375,0.5,1.125,0.0,0.375
407,1,4.944444444444445,2.6666666666666665,2.611111111111111,7.555555555555555,0.1111111111111111,0.1111111111111111,3.8333333333333335,1.8333333333333333,1.1111111111111112,0.5,0.3333333333333333,1.7777777777777777,0.4444444444444444,1.0555555555555556,0.0,2.8333333333333335,4.611111111111111,0.4444444444444444,0.05555555555555555,3.6666666666666665,0.0,0.1111111111111111
408,1,8.142857142857142,2.857142857142857,11.142857142857142,19.285714285714285,0.2857142857142857,0.14285714285714285,0.0,3.0,1.4285714285714286,2.2857142857142856,4.714285714285714,4.142857142857143,1.2857142857142858,1.4285714285714286,0.0,9.428571428571429,10.571428571428571,0.0,0.0,0.8571428571428571,0.14285714285714285,0.42857142857142855
409,1,11.777777777777779,4.888888888888889,3.2222222222222223,15.0,0.0,0.1111111111111111,0.0,2.4444444444444446,3.5555555555555554,1.3333333333333333,0.2222222222222222,2.6666666666666665,1.0,0.6666666666666666,0.2222222222222222,4.777777777777778,8.11111111111111,0.4444444444444444,0.0,2.7777777777777777,0.1111111111111111,0.0
410,1,5.882352941176471,3.5294117647058822,2.0,7.882352941176471,1.0588235294117647,0.9411764705882353,0.17647058823529413,1.0588235294117647,0.0,1.9411764705882353,0.0,1.9411764705882353,0.5882352941176471,0.29411764705882354,0.11764705882352941,3.588235294117647,4.470588235294118,1.0,1.8235294117647058,0.9411764705882353,0.058823529411764705,0.11764705882352941
411,1,4.9375,2.0,3.4375,8.375,0.625,0.4375,0.0,3.1875,0.125,1.4375,0.3125,1.375,0.8125,0.4375,0.0,3.125,5.1875,0.0625,0.4375,0.9375,0.0625,0.125
412,1,5.4375,3.0625,2.9375,8.375,0.0,0.0,0.0,1.4375,2.375,0.3125,0.1875,2.4375,0.875,1.5,0.0,3.1875,5.0625,0.5625,0.0,4.375,0.25,0.0
413,1,6.4,3.8666666666666667,2.466666666666667,8.866666666666667,2.466666666666667,0.8666666666666667,0.0,1.4,0.06666666666666667,1.4666666666666666,0.06666666666666667,2.3333333333333335,0.7333333333333333,1.2,0.4,3.533333333333333,5.733333333333333,0.6666666666666666,2.4,0.8666666666666667,0.0,0.2
414,1,6.0,2.727272727272727,6.090909090909091,12.090909090909092,0.18181818181818182,0.0,0.0,1.7272727272727273,0.8181818181818182,1.1818181818181819,2.090909090909091,2.090909090909091,0.18181818181818182,0.7272727272727273,0.0,5.2727272727272725,7.0,0.2727272727272727,0.2727272727272727,1.0,0.2727272727272727,0.18181818181818182
415,1,6.333333333333333,3.466666666666667,2.533333333333333,8.866666666666667,0.06666666666666667,0.0,0.13333333333333333,0.9333333333333333,2.466666666666667,1.0666666666666667,0.2,1.7333333333333334,0.8666666666666667,0.6,0.0,3.3333333333333335,5.333333333333333,0.5333333333333333,0.0,10.2,0.0,0.0
416,1,8.666666666666666,5.416666666666667,2.3333333333333335,11.0,0.16666666666666666,0.25,0.0,1.75,3.3333333333333335,1.0833333333333333,0.0,1.4166666666666667,0.5833333333333334,0.16666666666666666,0.0,3.9166666666666665,6.833333333333333,0.9166666666666666,0.25,6.166666666666667,0.08333333333333333,0.16666666666666666
417,1,7.846153846153846,5.384615384615385,2.3076923076923075,10.153846153846153,0.0,0.0,0.0,1.0,2.1538461538461537,0.3076923076923077,0.0,1.7692307692307692,0.3076923076923077,0.7692307692307693,0.0,3.1538461538461537,6.615384615384615,0.6923076923076923,0.0,5.846153846153846,0.38461538461538464,0.0
418,1,5.083333333333333,2.75,5.75,10.833333333333334,0.3333333333333333,0.08333333333333333,25.5,2.0833333333333335,0.5,1.5833333333333333,2.9166666666666665,2.5833333333333335,0.9166666666666666,1.25,0.0,7.166666666666667,4.0,1.25,0.5833333333333334,3.3333333333333335,0.0,0.0
419,1,8.875,3.875,7.375,16.25,0.25,0.25,0.0,1.875,1.875,1.5,1.25,1.5,0.25,0.25,0.0,4.125,12.25,0.25,0.5,1.125,0.0,0.25
